syndrome_name,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,healthy_mean_group_1,healthy_mean_group_2,disease_mean_group_1,disease_mean_group_2,raw_disease_effect_group_1,raw_disease_effect_group_2,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,abs_delta_hedges_g,interaction_beta_group2_minus_group1,interaction_standard_error,interaction_ci_lower,interaction_ci_upper,interaction_ci_excludes_zero,interaction_p_value,same_effect_direction,direction_reversal,within_syndrome_fdr_q_value,within_syndrome_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority_interaction,high_confidence_interaction
WILLIAMS-BEUREN SYNDROME; WBS,eb_lateral_thickness_mean,African,European,143,143,34,77,primary,0.000949895207760123,0.0009308936047880925,0.0009997081226735677,0.0008936178138996052,4.981291491344469e-05,-3.727579088848721e-05,0.6064162814565408,-0.4142446092888956,-1.0206608907454364,1.0206608907454364,-8.708870580193066e-05,2.235923691059761e-05,-0.0001309120048685006,-4.326540673536072e-05,True,9.82081877408562e-05,False,True,0.004687208960359047,True,0.004203898661433135,True,True,True
SOTOS SYNDROME; SOTOS,eye_fissure_height_mean,African,South Asian,143,143,11,10,moderate,0.07066346117085681,0.07456202451240107,0.08682310340752247,0.10902143776474302,0.01615964223666566,0.03445941325234195,0.7963323174730196,1.91854745691398,1.1222151394409603,1.1222151394409603,0.01829977101567619,0.004700273702818939,0.009087403840670347,0.02751213819068203,True,9.887278147471834e-05,True,False,0.0032369181405234944,True,0.004221354144131643,True,True,True
SOTOS SYNDROME; SOTOS,eye_fissure_aspect_mean,South Asian,European,143,143,10,64,moderate,0.35787619968594025,0.30685635634854797,0.48588208937079624,0.3705019771357646,0.128005889684856,0.06364562078721664,1.6281451904492437,0.6591043604746554,-0.9690408299745883,0.9690408299745883,-0.0643602688976384,0.016541321738940847,-0.09678066376265193,-0.03193987403262489,True,9.988204547901068e-05,True,False,0.0032369181405234944,True,0.004258913417798283,True,True,True
Hyperphosphatasia with mental retardation syndrome,eb_position_l,European,Middle Eastern,143,142,27,16,moderate,0.3648818860374633,0.33416902649350194,0.32193821340401924,0.3775272397480811,-0.04294367263344406,0.04335821325457917,-0.5287338812696158,0.642280934641669,1.1710148159112848,1.1710148159112848,0.08630188588802377,0.022195455749257034,0.042799591999027504,0.12980417977702005,True,0.00010096200779906685,False,True,0.009465188231162517,True,0.004296603244523395,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,nose_ala_height_l,South Asian,European,143,143,49,77,primary,0.063781996950874,0.06474729765497579,0.07306428638124773,0.06787084088770251,0.009282289430373736,0.0031235432327267193,1.45954608799022,0.5317061346099059,-0.9278399533803141,0.9278399533803141,-0.006158746197647174,0.001584318555649093,-0.009263953506757914,-0.0030535388885364347,True,0.00010135894383340384,True,False,0.004690033386163954,True,0.004307918912117842,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,nose_ala_height_mean,South Asian,European,143,143,49,77,primary,0.06376001675690902,0.06473390540854329,0.07280450711325734,0.06777209049736446,0.009044490356348314,0.0030381850888211714,1.4648813532890672,0.5230777825655587,-0.9418035707235085,0.9418035707235085,-0.006006305267527275,0.0015463677313933741,-0.009037130327913196,-0.002975480207141353,True,0.00010269368027155624,True,False,0.004690033386163954,True,0.004353391023761975,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,chin_width,African,European,143,143,34,77,primary,0.33061863145276854,0.3302611228946857,0.3134207381325633,0.3312003166006376,-0.017197893320205215,0.0009391937059519129,-0.9618928361936527,0.04995980019053047,1.011852636384183,1.011852636384183,0.01813708702615756,0.004672239438081263,0.008979666000370623,0.027294508051944492,True,0.00010365073020847927,False,True,0.004690033386163954,True,0.004389139121210471,True,True,True
CHARGE SYNDROME,upper_lip_eversion,East Asian,European,143,143,20,20,primary,0.0862270777656064,0.0770298547495753,0.1007301492995623,0.06645441401572585,0.0145030715339559,-0.010575440733849445,0.6228655421299916,-0.44279648834094976,-1.0656620304709414,1.0656620304709414,-0.02507851226780527,0.006463766562878329,-0.03774726193552105,-0.012409762600089488,True,0.00010451641011769505,False,True,0.0027030106064921135,True,0.004413586361745954,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,nose_length,South Asian,Latino/Hispanic,143,143,49,40,primary,0.303484032634234,0.3033285917479297,0.3099452839549062,0.2920420114342369,0.006461251320672212,-0.011286580313692784,0.3264982981872033,-0.6178563180983568,-0.9443546162855601,0.9443546162855601,-0.017747831634364566,0.004580005397181661,-0.026724477261839685,-0.008771186006889446,True,0.00010659499754593552,False,True,0.004690033386163954,True,0.004476691694203733,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,African,European,143,143,34,77,primary,0.016088890274516005,0.014982672375763902,0.017937397199248573,0.015003828267447769,0.001848506924732568,2.11558916838675e-05,1.0116942305605803,0.011513161300961772,-1.0001810692596185,1.0001810692596185,-0.001827351033048684,0.0004717342146166206,-0.0027519331039725487,-0.0009027689621248193,True,0.00010720076311231894,True,False,0.004690033386163954,True,0.00448945870995858,True,True,True
