syndrome_name,group,feature,n_disease,n_healthy_matched,evidence_level,disease_mean,healthy_mean,mean_difference,disease_median,healthy_median,median_difference,mann_whitney_u,p_value,hedges_g,abs_hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,ci_excludes_zero,effect_category,direction,within_group_fdr_q_value,within_group_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority
WEISS-KRUSZKA SYNDROME; WSKA,European,forehead_width_mid,10,143,moderate,0.9011196145152681,0.8681415358193747,0.03297807869589342,0.9055232116044609,0.8649760230949289,0.040547188509531984,1185.0,0.0005287108878466221,1.277364556660379,1.277364556660379,0.6399849123285113,1.95748319876967,True,large,higher_in_disease,0.016317507408333095,True,0.01646922545930185,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,forehead_height,10,143,moderate,0.20554498849247818,0.18136009170593598,0.024184896786542204,0.20988415114980308,0.1812405642290326,0.028643586920770486,1151.0,0.0013054005926666475,1.269274942358277,1.269274942358277,0.599220723570973,1.9224101850272695,True,large,higher_in_disease,0.016317507408333095,True,0.030529023010534107,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,hairline_height,10,143,moderate,0.20554498849247818,0.18136009170593598,0.024184896786542204,0.20988415114980308,0.1812405642290326,0.028643586920770486,1151.0,0.0013054005926666475,1.269274942358277,1.269274942358277,0.6134502021806737,1.9004925558327548,True,large,higher_in_disease,0.016317507408333095,True,0.030529023010534107,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,eb_medial_flare_mean,10,143,moderate,-0.13533715703904636,-0.07583166518951726,-0.05950549184952911,-0.151157044122193,-0.0774875753279518,-0.0736694687942412,261.0,0.0008149607879944806,-1.2633624012660583,1.2633624012660583,-1.8946819565848285,-0.6292888125594784,True,large,lower_in_disease,0.016317507408333095,True,0.022271537916689472,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,forehead_width_upper,10,143,moderate,0.760404461157436,0.7291996362530552,0.031204824904380812,0.7657499690437573,0.7278928675117327,0.037857101532024595,1157.0,0.0011177380908418486,1.2025303843601696,1.2025303843601696,0.5877977475385112,1.8918728594675593,True,large,higher_in_disease,0.016317507408333095,True,0.02740711207169706,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,chin_width,10,143,moderate,0.3112705485841058,0.3302611228946857,-0.018990574310579877,0.30910083818410566,0.3292658583529574,-0.020165020168851744,246.0,0.0005434132427072235,-1.1497443566915526,1.1497443566915526,-1.6244222211909327,-0.7295910602346563,True,large,lower_in_disease,0.016317507408333095,True,0.016782576182526775,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,midface_width,10,143,moderate,0.6122161600912484,0.5837279524026973,0.028488207688551093,0.6122483173727504,0.5810207551599534,0.03122756221279699,1159.0,0.0010609496870117388,1.1239579554991475,1.1239579554991475,0.7036386584212531,1.556361534972705,True,large,higher_in_disease,0.016317507408333095,True,0.0265169167141058,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,eb_medial_flare_r,10,143,moderate,-0.13002541981277382,-0.07585707094450587,-0.05416834886826795,-0.14654368487882585,-0.0796896583695818,-0.06685402650924405,298.0,0.002108310269840764,-1.0429214426722235,1.0429214426722235,-1.5761332494688265,-0.49692679286134867,True,large,lower_in_disease,0.0239580712481905,True,0.04184095524280429,True,True
WEISS-KRUSZKA SYNDROME; WSKA,European,eb_arch_mean,10,143,moderate,0.14914609714562516,0.1290087308956436,0.020137366249981553,0.15276049647895446,0.1292828816095211,0.023477614869433366,1096.0,0.004972825477276575,1.0124577150438316,1.0124577150438316,0.42713148840322773,1.5785673448325042,True,large,higher_in_disease,0.04781562958919784,True,0.07137367732828245,False,True
WEISS-KRUSZKA SYNDROME; WSKA,European,jaw_to_forehead_ratio,10,143,moderate,1.0437989331748485,1.1000060249357009,-0.05620709176085237,1.0439129669710434,1.1004256305757554,-0.056512663604711966,309.0,0.002759469137827252,-0.9800008854068992,0.9800008854068992,-1.5116101370235242,-0.5180500672843656,True,large,lower_in_disease,0.02874447018570054,True,0.050032173620726504,False,True
WHITE-SUTTON SYNDROME; WHSUS,European,chin_pointedness_angle,15,143,moderate,158.44958730600794,152.04440518418755,6.405182121820388,158.63083666270325,152.2463876335431,6.384449029160152,1726.0,0.00010732263270791334,1.2347928381562954,1.2347928381562954,0.6681093877305581,1.831429121080457,True,large,higher_in_disease,0.0070419433370383765,True,0.00538971597815723,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,chin_width,15,143,moderate,0.31278883685614284,0.3302611228946857,-0.01747228603854284,0.3121042566468623,0.3292658583529574,-0.017161601706095098,454.0,0.00024656573680193757,-1.0525314908263415,1.0525314908263415,-1.545423101532871,-0.6383954927934211,True,large,lower_in_disease,0.010273572366747398,True,0.009762616056619726,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,philtrum_width,15,143,moderate,0.2818028763660966,0.2967169741426873,-0.014914097776590696,0.2812394714857799,0.2949758450480432,-0.013736373562263315,421.0,0.00011267109339261403,-1.0503776237969982,1.0503776237969982,-1.5118857801733407,-0.6016852209762129,True,large,lower_in_disease,0.0070419433370383765,True,0.005574722336096606,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,face_triangularity,15,143,moderate,0.5755102614136085,0.5463955635522286,0.02911469786137988,0.5691354427479394,0.5475766286278632,0.02155881412007621,1608.0,0.001506293035542539,0.9668311964650881,0.9668311964650881,0.4793037104249936,1.476982144969666,True,large,higher_in_disease,0.03318258556997743,True,0.03359132791848811,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,forehead_height,15,143,moderate,0.19964116332946072,0.18136009170593598,0.01828107162352474,0.1979431476687429,0.1812405642290326,0.016702583439710317,1596.0,0.0019203117311745652,0.9604109428203785,0.9604109428203785,0.48933122671209034,1.501651149323612,True,large,higher_in_disease,0.03318258556997743,True,0.03931498248109815,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,hairline_height,15,143,moderate,0.19964116332946072,0.18136009170593598,0.01828107162352474,0.1979431476687429,0.1812405642290326,0.016702583439710317,1596.0,0.0019203117311745652,0.9604109428203785,0.9604109428203785,0.4333686926161608,1.5580308254908475,True,large,higher_in_disease,0.03318258556997743,True,0.03931498248109815,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,eye_epicanthus_angle_l,15,143,moderate,68.34881174451478,55.07959163159675,13.269220112918028,66.34883056175211,58.76236214195692,7.586468419795189,1556.0,0.004169840577111586,0.8366928470402802,0.8366928470402802,0.4947656748712834,1.2737648444111873,True,large,higher_in_disease,0.04009462093376525,True,0.06430007109443696,False,True
WHITE-SUTTON SYNDROME; WHSUS,European,eye_fissure_fill_l,15,143,moderate,0.26310530226359574,0.20412872033291574,0.058976581930680005,0.2486132907372755,0.2166262029478863,0.03198708778938922,1585.0,0.0023891461610383745,0.8297085021463277,0.8297085021463277,0.5405384047129085,1.1321716886294584,True,large,higher_in_disease,0.03318258556997743,True,0.04543005003490701,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,eye_fissure_aspect_l,15,143,moderate,0.38754541103338724,0.3032776233488448,0.08426778768454246,0.3734893106454325,0.3236818162309637,0.0498074944144688,1588.0,0.00225185079564795,0.8064254944239324,0.8064254944239324,0.5177121916419986,1.1099549219603988,True,large,higher_in_disease,0.03318258556997743,True,0.04382107964882932,True,True
WHITE-SUTTON SYNDROME; WHSUS,European,columella_hang_below_ala,15,143,moderate,0.008749694039409213,0.03795175094189049,-0.029202056902481274,0.0042552085819332,0.0363111987183237,-0.0320559901363905,597.0,0.004838925998684105,-0.8038329720228565,0.8038329720228565,-1.2987182197043414,-0.3995086045165518,True,large,lower_in_disease,0.04032438332236754,True,0.07034726798211512,False,True
WIEDEMANN-STEINER SYNDROME; WDSTS,European,inter_canthal_distance,71,143,primary,0.2671291984926413,0.25195082398911633,0.015178374503524938,0.2673138220476364,0.2522224867932135,0.015091335254422855,7667.0,1.2585472674628177e-09,0.9673141844420956,0.9673141844420956,0.669986701261464,1.2995917266668533,True,large,higher_in_disease,1.573184084328522e-07,True,8.041868641600406e-07,True,True
WIEDEMANN-STEINER SYNDROME; WDSTS,European,malar_bulge_mean,71,143,primary,0.036494627422778154,0.0431630478595418,-0.006668420436763647,0.0371924595446398,0.0433590536393677,-0.006166594094727897,2665.0,1.5775228316762146e-08,-0.9118851996677748,0.9118851996677748,-1.1992001605958509,-0.619574459924356,True,large,lower_in_disease,4.92975884898817e-07,True,6.492241738413235e-06,True,True
WIEDEMANN-STEINER SYNDROME; WDSTS,European,jaw_bigonial_width,71,143,primary,0.7815409017102596,0.8008186518480824,-0.019277750137822847,0.7815479220793794,0.8010918006628817,-0.01954387858350226,2607.0,7.0848633522544035e-09,-0.8352171227310652,0.8352171227310652,-1.1648470729696168,-0.49550428682969194,True,large,lower_in_disease,2.9520263967726683e-07,True,3.340375500425771e-06,True,True
WIEDEMANN-STEINER SYNDROME; WDSTS,European,inter_pupillary_distance,71,143,primary,0.47453432771708226,0.4551515740192434,0.019382753697838873,0.4729298180676252,0.4540688462805384,0.01886097178708679,7251.0,3.4465292519467345e-07,0.8276666911586725,0.8276666911586725,0.517412260272203,1.1685906764202936,True,large,higher_in_disease,8.616323129866836e-06,True,7.488683525622519e-05,True,True
WIEDEMANN-STEINER SYNDROME; WDSTS,European,cheek_area_mean,71,143,primary,0.0063282877431488855,0.007763406855828677,-0.0014351191126797912,0.0062663860434873,0.0073679677756843,-0.001101581732197,2607.0,7.0848633522544035e-09,-0.8157211961889067,0.8157211961889067,-1.0679871648285404,-0.567562481296729,True,large,lower_in_disease,2.9520263967726683e-07,True,3.340375500425771e-06,True,True
