feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
vermilion_total,12.877914573616772,0.0049082001158922365,4,Asian:571|African:143|Others:143|European:143,Asian:0.300053|African:0.307103|Others:0.287848|European:0.282917,Asian:0.290417|African:0.299765|Others:0.275342|European:0.262381,0.00943884637671584,True
cupid_bow_drop,0.5690680869044058,0.9034755510216377,4,Asian:571|African:143|Others:143|European:143,Asian:0.0225323|African:0.0227861|Others:0.0225385|European:0.0222348,Asian:0.0223942|African:0.0223521|Others:0.0227062|European:0.0222191,0.9149004850541417,False
mouth_corner_drop,13.0372414980258,0.004556756822160517,4,Asian:571|African:143|Others:143|European:143,Asian:0.155938|African:0.153255|Others:0.126335|European:0.135309,Asian:0.144066|African:0.14634|Others:0.123595|European:0.133453,0.00910634588960321,True
mouth_triangularity,13.5579648302221,0.00357297082166692,4,Asian:571|African:143|Others:143|European:143,Asian:0.17847|African:0.176041|Others:0.148874|European:0.157544,Asian:0.167322|African:0.174656|Others:0.143645|European:0.156012,0.007321661519809262,True
mouth_tenting,11.55884531885487,0.009057787741674678,4,Asian:571|African:143|Others:143|European:143,Asian:0.582832|African:0.570117|Others:0.492261|European:0.523296,Asian:0.560909|African:0.571132|Others:0.494023|European:0.520174,0.01594680940435683,True
mouth_upper_curvature_c2,13.959738731506828,0.002960470620291076,4,Asian:571|African:143|Others:143|European:143,Asian:1.78264|African:1.51961|Others:1.42846|European:1.55323,Asian:1.61685|African:1.53917|Others:1.34022|European:1.35918,0.006380324612696284,True
mouth_upper_fit_residual,22.54928106497732,5.013128767615068e-05,4,Asian:571|African:143|Others:143|European:143,Asian:0.0133066|African:0.0138377|Others:0.0119616|European:0.012389,Asian:0.0124306|African:0.0130801|Others:0.0114964|European:0.0105824,0.00016490555156628513,True
upper_lip_eversion,16.56127195297726,0.0008698238105394675,4,Asian:571|African:143|Others:143|European:143,Asian:0.0809616|African:0.0854438|Others:0.0773657|European:0.0770299,Asian:0.0788862|African:0.0815526|Others:0.0742719|European:0.0713527,0.002416177251498521,True
lower_lip_eversion,7.234457332146165,0.06478863943469511,4,Asian:571|African:143|Others:143|European:143,Asian:0.120852|African:0.121529|Others:0.116885|European:0.114121,Asian:0.117596|African:0.121014|Others:0.112806|European:0.108223,0.0861551056312435,False
lip_outer_to_inner_area,6.439173106925411,0.09209248151474499,4,Asian:571|African:143|Others:143|European:143,Asian:8.53164|African:7.51441|Others:7.86621|European:7.35845,Asian:4.28395|African:3.32473|Others:3.60117|European:3.99302,0.11696947281899796,False
lip_midline_x_std,16.186230160269847,0.0010385199032297019,4,Asian:571|African:143|Others:143|European:143,Asian:0.00278324|African:0.00412384|Others:0.00321637|European:0.00340265,Asian:0.00213324|African:0.00279054|Others:0.0022599|European:0.00239015,0.0027620210192279304,True
cupid_bow_peak_asym,1.8745653016244674,0.5988446302232111,4,Asian:571|African:143|Others:143|European:143,Asian:0.00680802|African:0.00680518|Others:0.00589106|European:0.00560224,Asian:0.00468998|African:0.00537265|Others:0.00490936|European:0.00473085,0.6397912716059947,False
chin_height,61.648621680551415,2.611887107841351e-13,4,Asian:571|African:143|Others:143|European:143,Asian:0.177986|African:0.154972|Others:0.18064|European:0.187991,Asian:0.177142|African:0.155325|Others:0.18079|European:0.18655,2.176572589867793e-12,True
chin_width,27.5274656218831,4.56357348252831e-06,4,Asian:571|African:143|Others:143|European:143,Asian:0.325032|African:0.330619|Others:0.32329|European:0.330261,Asian:0.321908|African:0.328376|Others:0.320066|European:0.329266,1.8401505977936733e-05,True
chin_pointedness_angle,38.993299328823376,1.7413475320028643e-08,4,Asian:571|African:143|Others:143|European:143,Asian:152.163|African:149.114|Others:152.261|European:152.044,Asian:152.312|African:149.534|Others:151.704|European:152.246,9.06951839584825e-08,True
jaw_bigonial_width,31.842796633130693,5.648300090536936e-07,4,Asian:571|African:143|Others:143|European:143,Asian:0.793598|African:0.786683|Others:0.796062|European:0.800819,Asian:0.793579|African:0.78433|Others:0.795865|European:0.801092,2.614953745618952e-06,True
