syndrome_name,feature,n_disease,n_healthy,disease_mean,healthy_mean,disease_median,healthy_median,mean_difference,hedges_g,abs_hedges_g,mann_whitney_u,p_value,global_fdr_q_value,global_significant_fdr,within_disease_fdr_q_value,bootstrap_direction_stability,hedges_g_bootstrap_ci_lower,hedges_g_bootstrap_ci_upper,pds_effect_component,pds_sample_reliability,pds_reliability_component,pds_q_multiplier,pds_normalized,pds_signed,pds_absolute,pds_category,pds_within_disease_percentile
Stickler syndrome,eb_thickness_mean,23,1000,0.016626581490369743,0.0152559541162161,0.0162439086847539,0.0152106626423683,0.001370627374153643,0.7784720952040557,0.7784720952040557,15305.0,0.006614506524635059,0.03653289566169295,True,0.0330725326231753,0.999,0.2810191357673084,1.3358174745114473,0.37070144417602774,0.4372951311930443,0.858573782798261,0.8,0.25461963297199247,25.461963297199247,25.461963297199247,weak,82.39999999999999
Stickler syndrome,lip_midline_x_std,23,1000,0.0013208460818971914,0.003125458867207363,0.0011972007887842,0.0022451812243398,-0.0018046127853101716,-0.5750067330340556,0.5750067330340556,5686.0,3.329422117792911e-05,0.0006152794196087398,True,0.00041878094579498253,1.0,-0.6991303514726273,-0.4753039073365128,0.2798352963709003,0.4372951311930443,0.859323782798261,1.0,-0.24046912543791454,-24.046912543791453,24.046912543791453,weak,81.6
Stickler syndrome,eye_epicanthus_angle_asym,23,1000,0.05803878786972343,0.1175344469795319,0.038175712295043,0.088263283537799,-0.059495659109808474,-0.48691259747727844,0.48691259747727844,6532.0,0.0003914178278573546,0.004338254879116384,True,0.002446361424108466,1.0,-0.7066390436679661,-0.2613680196933155,0.23875769997139418,0.4372951311930443,0.859323782798261,1.0,-0.2051701699116307,-20.51701699116307,20.51701699116307,weak,80.80000000000001
Stickler syndrome,face_aspect_ratio,23,1000,0.8792812292009542,0.9115564837737505,0.879878993610739,0.9100307994497756,-0.03227525457279634,-0.6191396225065092,0.6191396225065092,7853.0,0.009244612856500512,0.04679270880685909,True,0.041270593109377286,0.986,-1.1952754991775532,-0.09699890450533492,0.30004568772743784,0.4372951311930443,0.8488237827982611,0.8,-0.2037487325352877,-20.37487325352877,20.37487325352877,weak,80.0
Stickler syndrome,canthal_to_pupillary_ratio,23,1000,0.5357139156579016,0.5538799842751869,0.5335063385276804,0.5521935516504053,-0.018166068617285314,-0.6027814674765236,0.6027814674765236,7812.0,0.008484912788886727,0.04394537000761864,True,0.04079284994657081,0.999,-1.0063727034416825,-0.16704862307653578,0.2925848080641917,0.4372951311930443,0.858573782798261,0.8,-0.200964516359181,-20.0964516359181,20.0964516359181,weak,79.2
Stickler syndrome,nose_ala_height_asym,23,1000,0.00839803251299666,0.014461687734683704,0.0060743597092266,0.011289695292198601,-0.006063655221687043,-0.47768661628304776,0.47768661628304776,7840.0,0.008997407263273213,0.04590923489091445,True,0.041270593109377286,1.0,-0.722113636856505,-0.22538545163414778,0.23440290858588933,0.4372951311930443,0.859323782798261,0.8,-0.16114239528395313,-16.114239528395313,16.114239528395313,minimal,78.4
TAF4,iris_offset_y_l,6,1000,-0.08337955844719931,-0.05283598202074236,-0.07936196630385925,-0.0554781183013919,-0.03054357642645695,-1.0368286157805107,1.0368286157805107,1005.0,0.004941408574895246,0.029488089256113514,True,0.33407243330656244,1.0,-1.469274276080185,-0.6451522036428871,0.4764752440022471,0.1392920235749422,0.7848230058937355,0.8,-0.29915898658543577,-29.915898658543576,29.915898658543576,weak,100.0
TAF4,iris_offset_y_r,6,1000,-0.08336428608147757,-0.05512897935743082,-0.08388795200705229,-0.05803902963138405,-0.028235306724046748,-1.0175801433504894,1.0175801433504894,1023.0,0.005345158932904999,0.0312551160999765,True,0.33407243330656244,1.0,-1.3929212908136759,-0.6346711622782255,0.4690019455782331,0.1392920235749422,0.7848230058937355,0.8,-0.2944668133589753,-29.44668133589753,29.44668133589753,weak,99.2
TAKENOUCHI-KOSAKI SYNDROME; TKS,inter_canthal_distance,20,1000,0.2728669632653711,0.2519521798745515,0.27493876257135264,0.2509773840301761,0.02091478339081959,1.3176374781633724,1.3176374781633724,15732.0,1.1143381357621434e-05,0.00024931144817202304,True,0.0013929226697026792,1.0,0.6936633323076395,1.9235176287389941,0.57757675182947,0.3934693402873666,0.8483673350718417,1.0,0.4899972497490179,48.999724974901795,48.999724974901795,moderate,100.0
TAKENOUCHI-KOSAKI SYNDROME; TKS,philtrum_length,20,1000,0.34280631167678116,0.2853396846828058,0.36571207211523904,0.2846329595436373,0.05746662699397537,1.1523093896195868,1.1523093896195868,14246.0,0.0011356999372230782,0.00978672486569074,True,0.035490623038221196,1.0,0.46231322853782636,1.8484141022683593,0.519864967114856,0.3934693402873666,0.8483673350718417,1.0,0.441036456748441,44.1036456748441,44.1036456748441,moderate,99.2
TAKENOUCHI-KOSAKI SYNDROME; TKS,chin_pointedness_angle,20,1000,155.96101499275028,151.7238655812974,155.6156399647253,151.76310289603077,4.23714941145289,0.8612509221801001,0.8612509221801001,14251.0,0.0011204694498503302,0.009689251946820772,True,0.035490623038221196,1.0,0.3343061530526561,1.3397502231957739,0.4058438831297128,0.3934693402873666,0.8483673350718417,1.0,0.34430469358596244,34.43046935859624,34.43046935859624,weak,98.4
TAKENOUCHI-KOSAKI SYNDROME; TKS,cheek_area_mean,20,1000,0.005753582345961476,0.007601843768794419,0.0058355084248981,0.0070679741171152995,-0.0018482614228329435,-0.8148311950206101,0.8148311950206101,4699.0,4.838226956393383e-05,0.0008312783766776276,True,0.0030238918477458643,1.0,-1.1085526599744118,-0.5401353517368244,0.3862760921330585,0.3934693402873666,0.8483673350718417,1.0,-0.32770401888488804,-32.770401888488806,32.770401888488806,weak,97.6
TAKENOUCHI-KOSAKI SYNDROME; TKS,inter_pupillary_distance,20,1000,0.47646805977701323,0.45531156938611694,0.47478604827812243,0.4547212161925265,0.021156490390896288,0.8671248523078756,0.8671248523078756,13686.0,0.004724147542923174,0.02857088416146796,True,0.09235321396465535,0.994,0.2503056536571152,1.515427300430762,0.40829417518957106,0.3934693402873666,0.8438673350718418,0.8,0.2756368940340632,27.563689403406322,27.563689403406322,weak,96.8
TAKENOUCHI-KOSAKI SYNDROME; TKS,outer_canthal_distance,20,1000,0.6708731515980466,0.6468154240267493,0.6757795625639329,0.645148017692251,0.024057727571297316,0.7864851107192826,0.7864851107192826,13437.0,0.008428995530836909,0.04373897708901263,True,0.10407798911054994,0.994,0.10223821341204703,1.480928256065367,0.3741522357549578,0.3934693402873666,0.8438673350718418,0.8,0.2525878800781662,25.25878800781662,25.25878800781662,weak,96.0
