syndrome,feature,feature_family,anatomical_region,n_disease,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,mannwhitney_q_fdr_global,cell_status
SOTOS SYNDROME; SOTOS,hairline_height,hairline_height,forehead,25,0.7965238892554952,0.4446030626676039,1.1814474604439469,0.0081798884895203,significant
SOTOS SYNDROME; SOTOS,nose_ala_height_mean,nose_ala_height,nose,25,0.6457419130047296,0.2345759740285065,1.0501699453765097,0.0311677429185508,significant
SOTOS SYNDROME; SOTOS,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,25,0.6214435108212034,0.2255670254910722,1.0928294754130552,0.0731523368978971,tested_nonsignificant
SOTOS SYNDROME; SOTOS,philtrum_width,philtrum_width,philtrum / mouth / lips,25,-0.387729165391778,-0.7305520807461228,0.0228221137371406,0.188396950552648,tested_nonsignificant
SOTOS SYNDROME; SOTOS,philtrum_length,philtrum_length,philtrum / mouth / lips,25,0.3204039619119067,-0.0962007498249514,0.7164482406068551,0.2358895610957556,tested_nonsignificant
SOTOS SYNDROME; SOTOS,malar_bulge_mean,malar_bulge,cheeks / malar region,25,-0.3836187166289503,-0.9031665182641518,0.1189516923264469,0.4742279627946555,tested_nonsignificant
SOTOS SYNDROME; SOTOS,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,25,0.0019327589727111,-0.3244700287950264,0.3428430044054564,0.9715933766702542,tested_nonsignificant
WILLIAMS-BEUREN SYNDROME; WBS,malar_bulge_mean,malar_bulge,cheeks / malar region,67,-1.4071244085987935,-1.763600438424677,-1.114688286175228,1.4070686056078247e-14,significant
WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,eb_thickness,eyebrows,67,1.26278705539905,1.0217725976402623,1.5404061766275805,3.1494788136802073e-13,significant
WILLIAMS-BEUREN SYNDROME; WBS,forehead_width_mid,forehead_width_mid,forehead,67,1.2183809171055109,0.959789511932949,1.4734073236568048,6.57504781591502e-13,significant
WILLIAMS-BEUREN SYNDROME; WBS,face_triangularity,face_triangularity,global face shape / proportions,67,1.0891849842689283,0.8749883202022392,1.319565809124407,3.328887566118078e-12,significant
WILLIAMS-BEUREN SYNDROME; WBS,nose_ala_height_mean,nose_ala_height,nose,67,1.1153429666364283,0.753447903716295,1.4476243006929184,8.188228853586687e-08,significant
WILLIAMS-BEUREN SYNDROME; WBS,philtrum_length,philtrum_length,philtrum / mouth / lips,67,0.9791198380998803,0.7014582164828146,1.2931857361428625,8.117781110872769e-07,significant
WILLIAMS-BEUREN SYNDROME; WBS,chin_width,chin_width,chin / jaw,67,-0.7207358317427341,-0.9284756844306864,-0.4838412244399579,3.289805318993449e-06,significant
WILLIAMS-BEUREN SYNDROME; WBS,forehead_height,forehead_height,forehead,67,0.6907506199592408,0.4622102027846878,0.91434175860129,1.6195811915832943e-05,significant
WILLIAMS-BEUREN SYNDROME; WBS,hairline_height,hairline_height,forehead,67,0.6907506199592408,0.481555385843443,0.9342507241260782,1.6195811915832943e-05,significant
WILLIAMS-BEUREN SYNDROME; WBS,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,67,0.6979302423044613,0.4371682747333164,0.954347809293504,8.793790898822514e-05,significant
WILLIAMS-BEUREN SYNDROME; WBS,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,67,0.5860083572314341,0.3121839600544359,0.8491612650845778,0.0002802708312771,significant
WILLIAMS-BEUREN SYNDROME; WBS,philtrum_width,philtrum_width,philtrum / mouth / lips,67,-0.5077063590880371,-0.7002861129830567,-0.3026999795430506,0.0010700289905094,significant
