shortlist_rank,demographic_layer,syndrome,feature,group,n_disease,n_healthy_matched,hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,global_fdr_q_value,within_group_fdr_q_value,evidence_level,global_significant_fdr,direction_agrees_with_pooled
17,detailed,AU-KLINE SYNDROME; AUKS,nose_ala_height_l,European,8.0,137.0,1.702839330944802,1.2651976102783822,2.1760309091286993,0.0025266990149642,0.000275071862489,exploratory,True,True
18,detailed,NICOLAIDES-BARAITSER SYNDROME; NCBRS,forehead_width_mid,European,17.0,137.0,1.3165232666095028,0.7344328192226846,2.0168283293887193,0.0120183956389577,0.0007400050278758,moderate,True,True
19,detailed,NICOLAIDES-BARAITSER SYNDROME; NCBRS,jaw_to_forehead_ratio,European,17.0,137.0,-1.472566702524298,-2.068922069124067,-0.9742871829276926,0.0018411439173083,9.147928768865377e-05,moderate,True,True
20,detailed,Rubinstein-Taybi syndrome,inter_canthal_distance,African,6.0,136.0,1.664290975288065,0.9512234350942051,2.4262453511273008,0.0704886978780034,0.0318629722880273,exploratory,False,True
20,detailed,Rubinstein-Taybi syndrome,inter_canthal_distance,East Asian,5.0,140.0,1.0737706631885628,0.3768433641807335,1.9283766374635605,0.2777676859272869,0.3762675922653395,exploratory,False,True
20,detailed,Rubinstein-Taybi syndrome,inter_canthal_distance,European,4.0,137.0,-0.1250139638886677,-0.9174424504450112,0.5218125269530446,0.9504830372815334,0.9412136982252822,insufficient,False,False
20,detailed,Rubinstein-Taybi syndrome,inter_canthal_distance,Latino/Hispanic,6.0,137.0,1.86388459456356,0.8938475295395738,2.8954646553593566,0.0346111203558312,0.0420186664098467,exploratory,True,True
20,detailed,Rubinstein-Taybi syndrome,inter_canthal_distance,South Asian,2.0,133.0,1.8442441976474648,1.460935596554465,2.292791301210671,0.2004938826477307,0.2155887230514095,insufficient,False,True
21,detailed,SOTOS SYNDROME; SOTOS,face_triangularity,African,2.0,136.0,1.6287775858156606,0.8618468925046271,2.515706148056235,0.3007934071967065,0.2681151067560691,insufficient,False,True
21,detailed,SOTOS SYNDROME; SOTOS,face_triangularity,European,20.0,137.0,1.474447462018518,1.0766070620941988,1.929738816998975,0.0003862945645143,9.978088382290685e-06,primary,True,True
22,detailed,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",eb_inter_distance,European,6.0,137.0,0.380635205860002,-0.3885565297391208,1.2392082513303015,0.7106018494256632,0.6534086421212285,exploratory,False,True
22,detailed,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",eb_inter_distance,Middle Eastern,4.0,122.0,2.4567988936519902,0.7560753459610848,4.5970901627799865,0.1663083602093883,0.1313283730066757,insufficient,False,True
22,detailed,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",eb_inter_distance,South Asian,2.0,133.0,3.7822293910880314,2.988925497078538,4.721606118840294,0.0267785221240335,0.0069098949695964,insufficient,True,True
23,detailed,Holoprosencephaly,chin_height,,,,,,,,,,,False
24,detailed,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",inter_pupillary_distance,European,6.0,137.0,0.9617920476655888,0.3757199189701302,1.6907251994620438,0.1959907597318829,0.3816045408524836,exploratory,False,True
24,detailed,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",inter_pupillary_distance,Middle Eastern,4.0,122.0,2.066404781831644,0.7394133181756284,3.510450240471978,0.1592896307413101,0.1313283730066757,insufficient,False,True
24,detailed,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",inter_pupillary_distance,South Asian,2.0,133.0,3.0051434376460713,2.6743208284841327,3.4616368258498613,0.0267785221240335,0.0069098949695964,insufficient,True,True
25,detailed,Rubinstein-Taybi syndrome,malar_bulge_mean,African,6.0,136.0,-1.261090925675001,-1.970437938218376,-0.5998365374891073,0.1269602594278647,0.0671811852470693,exploratory,False,True
25,detailed,Rubinstein-Taybi syndrome,malar_bulge_mean,East Asian,5.0,140.0,-0.1544126427910244,-1.0385584623591,0.6684858444823991,0.889429116175107,0.8823864348277796,exploratory,False,True
25,detailed,Rubinstein-Taybi syndrome,malar_bulge_mean,European,4.0,137.0,-1.0922741487382417,-2.263556248784714,-0.2688131757729608,0.3139548888478622,0.3386563248410126,insufficient,False,True
25,detailed,Rubinstein-Taybi syndrome,malar_bulge_mean,Latino/Hispanic,6.0,137.0,-1.4396963105241565,-2.707840419265497,-0.4460685031706649,0.1699021738988061,0.0752858212084619,exploratory,False,True
25,detailed,Rubinstein-Taybi syndrome,malar_bulge_mean,South Asian,2.0,133.0,-1.0142382813201656,-1.2451557377568931,-0.8211195723291728,0.4908470607498402,0.4145936981757875,insufficient,False,True
