review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
33,Noonan syndrome,face_triangularity,global face shape / proportions,face_triangularity,primary_candidate,34,942,0.5956858419021853,0.5974923767876192,0.5543925309280083,0.5577225634872556,1.2243864433938392,0.8460470333558155,1.584428388208729,5.034721023875995e-07,0.598851005370301,0.5988510053703009,1.0,1.2190804717753034,0.8438378740933542,1.5789257445268343,5.182801053989994e-07,True,True,0.005305971618535743,True,True,13.573774500156768,unreviewed,TBD,TBD
34,Mucopolysaccharidoses,chin_pointedness_angle,chin / jaw,chin_pointedness_angle,primary_candidate,37,942,157.3463931692967,156.8358558323086,151.72734318676052,151.8780219730048,1.1491547799316888,0.8582362708699979,1.4425568278665577,1.0567021673562795e-07,0.6043495725024387,0.6043495725024388,1.0,1.1842531445653712,0.8964137602807977,1.4753186873286364,4.892043882396629e-08,True,True,0.03509836463368243,True,True,13.558958050664323,unreviewed,TBD,TBD
35,Noonan syndrome,forehead_width_upper,forehead,forehead_width_upper,primary_candidate,34,942,0.7665573729613742,0.76375906082635,0.7335674050836118,0.7333062338376494,1.2099507781487897,0.7509836861397488,1.684089117023806,1.1520017626612163e-05,0.5334707131260147,0.5334707131260148,1.0,1.2170128196807124,0.7540859498385156,1.69144257877794,1.0974558029685528e-05,True,True,0.0070620415319226915,True,True,13.555826695084942,unreviewed,TBD,TBD
36,Noonan syndrome,jaw_to_forehead_ratio,chin / jaw,jaw_to_forehead_ratio,primary_candidate,34,942,1.009822318426431,1.0046066218143972,1.084235035651304,1.0820499752326038,-1.1846595272465492,-1.6779807577527976,-0.6869524258869005,5.346330599672936e-06,-0.5504558511302611,-0.5504558511302611,1.0,-1.1816627404375923,-1.6749023143307955,-0.68532371424472,5.00127647509754e-06,True,True,0.002996786808956875,True,True,13.538665953628634,unreviewed,TBD,TBD
37,Noonan syndrome,malar_bulge_mean,cheeks / malar region,malar_bulge,primary_candidate,34,942,0.0323240705110625,0.0342786875384406,0.0412305950089593,0.0416614638437925,-1.2381657036005345,-1.6467274148562323,-0.8043723828912324,3.170206531991496e-06,-0.5618833520669414,-0.5618833520669414,1.0,-1.2708126470752328,-1.706445612272831,-0.8351193403466128,3.106802401351666e-06,True,True,0.03264694347469832,True,True,13.532871816651138,unreviewed,TBD,TBD
38,Noonan syndrome,nose_bridge_width,nose,nose_bridge_width,primary_candidate,34,942,0.0830618392832816,0.0822878455951397,0.0792330153015402,0.0789639324344417,1.137261202117403,0.7239046399964707,1.573424316543418,1.359274111370936e-05,0.5298488822280505,0.5298488822280505,1.0,1.1379209429923067,0.7239046399964707,1.574394249987355,1.2826952881951086e-05,True,True,0.0006597408749038358,True,True,13.495941720367593,unreviewed,TBD,TBD
39,KBG SYNDROME; KBGS,jaw_bigonial_width,chin / jaw,jaw_bigonial_width,primary_candidate,32,942,0.7623542747291963,0.7603044882635059,0.7939531567265726,0.7939190905288416,-1.2565595356616148,-1.561786561985991,-0.9659141664412944,6.889344033793679e-08,-0.6595010615711253,-0.6595010615711252,1.0,-1.3051316961611763,-1.5725199152094884,-1.0239473399153334,1.0730787377021064e-08,True,True,0.04857216049956148,True,True,13.43941521466249,unreviewed,TBD,TBD
40,WIEDEMANN-STEINER SYNDROME; WDSTS,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,moderate_candidate,14,942,0.281648059132124,0.2823333483847163,0.2519552872906554,0.2512061827354069,1.8780167035724515,1.3350946526780614,2.4827095888007413,1.6274149381302962e-05,0.8099787685774947,0.8099787685774946,1.0,1.8780167035724515,1.3350946526780614,2.4827095888007413,1.5633342778004753e-05,True,True,0.0,True,True,13.438016703572451,unreviewed,TBD,TBD
41,Noonan syndrome,eb_inter_distance,eyebrows,eb_inter_distance,primary_candidate,34,942,0.2081905701266463,0.2045209351619715,0.1950117598059135,0.1945834924052124,1.0676052312533464,0.7086939522649139,1.4531383813984309,5.726606427294495e-06,0.5482702635194205,0.5482702635194205,1.0,1.069235456777543,0.7097641320025957,1.4555388496680528,5.535719546384678e-06,True,True,0.0016302255241966712,True,True,13.424344780204951,unreviewed,TBD,TBD
42,Kabuki syndrome,outer_canthal_distance,eyes / orbital dimensions,outer_canthal_distance,primary_candidate,35,942,0.6783845122016399,0.6784835110828312,0.646208071321148,0.6447895676793544,1.0790013204294004,0.7805019629830131,1.3629520939791524,2.031458656040721e-06,0.5649984834698211,0.564998483469821,1.0,1.112128395205172,0.8188860795056576,1.4020575557263704,8.454840360442732e-07,True,True,0.03312707477577148,True,True,13.412747170877857,unreviewed,TBD,TBD
